Rank	Name	Platform	Publisher	Developer	Critic_Score	User_Score	Total_Shipped	Year
5	PLAYERUNKNOWN'S BATTLEGROUNDS	PC	PUBG Corporation	PUBG Corporation	8.6	4.7	36.6	2017
118	Rust	PC	Facepunch Studios	Facepunch Studios	6.1	6.2	9.02	2018
225	Sid Meier's Civilization VI	PC	2K Games	Firaxis Games	8.8	7.0	5.5	2016
279	Stardew Valley	PC	Chucklefish	ConcernedApe	9.2	8.7	4.91	2016
480	Dying Light	PC	Warner Bros. Interactive Entertainment	Techland	7.5	7.9	3.47	2016
494	World of Warcraft: Battle for Azeroth	PC	Blizzard Entertainment	Blizzard Entertainment	7.9	3.1	3.4	2018
514	World of Warcraft: Legion	PC	Blizzard Entertainment	Blizzard Entertainment	8.8	7.3	3.3	2016
516	Dark Souls III	PC	Namco Bandai Games	From Software	8.9	8.4	3.29	2016
631	Subnautica	PC	Unknown Worlds Entertainment	Unknown Worlds Entertainment	8.7	8.4	2.87	2018
769	Rise of the Tomb Raider	PC	Square Enix	Crystal Dynamics	8.6	7.9	2.49	2016
911	Darkest Dungeon	PC	Red Hook Studios	Red Hook Studios	8.4	7.8	2.21	2016
986	Total War: WARHAMMER	PC	Sega	Creative Assembly	8.6	7.4	2.09	2016
1054	Planet Coaster	PC	Frontier Developments	Frontier Developments	8.4	7.7	2.0	2016
1077	Stellaris	PC	Paradox Interactive	Paradox Interactive	7.8	8.0	1.97	2016
1140	The Long Dark	PC	Hinterland Studio Inc.	Hinterland Studio Inc.	7.7	8.2	1.88	2017
1216	Ori and the Blind Forest: Definitive Edition	PC	Nordic Games	Moon Studios	8.8	8.7	1.76	2016
1248	Cuphead	PC	Studio MDHR	Studio MDHR	8.8	8.3	1.74	2017
1458	Hitman	PC	Square Enix	IO Interactive	8.3	7.3	1.53	2016
1568	Grim Dawn	PC	Crate Entertainment	Crate Entertainment	8.4	8.5	1.46	2016
1653	Frostpunk	PC	11 bit studios	11 bit studios	8.4	8.4	1.4	2018
1661	No Man's Sky	PC	Hello Games	Hello Games	6.1	2.9	1.4	2016
1722	Hearts of Iron IV	PC	Paradox Interactive	Paradox Development	8.3	7.2	1.35	2016
1939	Slime Rancher	PC	Monomi Park	Monomi Park	8.1	7.8	1.22	2017
2027	NieR: Automata	PC	Square Enix	PlatinumGames	8.4	8.6	1.18	2017
2062	Deus Ex: Mankind Divided	PC	Square Enix	Eidos Montreal	8.3	6.6	1.16	2016
2087	Enter the Gungeon	PC	Devolver Digital	Dodge Roll	8.4	7.7	1.14	2016
2097	Conan Exiles	PC	Maximum Games	Funcom Oslo A/S	6.8	6.4	1.14	2018
2135	Slay the Spire	PC	Mega Crit Games	Mega Crit Games	8.9	6.5	1.12	2019
2185	Kingdom Come: Deliverance	PC	Warhorse Studios	Warhorse Studios	7.6	8.1	1.1	2018
2366	Assassin's Creed Origins	PC	Ubisoft	Ubisoft Montreal	8.4	6.8	1.03	2017
2445	Hollow Knight	PC	Team Cherry	Team Cherry	8.7	9.0	1.0	2017
2453	Mordhau	PC	Triternion	Triternion	8.1	8.2	1.0	2019
2455	My Time At Portia	PC	Team17 Digital Ltd	Pathea Games	7.3	7.0	1.0	2019
2470	Total War: Three Kingdoms	PC	Sega	Creative Assembly	8.6		1.0	2019
2533	Dragon's Dogma: Dark Arisen	PC	Capcom	Capcom	8.1	8.1	0.97	2016
2560	Firewatch	PC	Unknown	Unknown	8.1	6.9	0.96	2016
2574	Football Manager 2018	PC	Sega	Sports Interactive	8.2	5.7	0.96	2017
2661	Overwatch	PC	Blizzard Entertainment	Blizzard Entertainment	9.5	6.7	0.92	2016
2853	Mafia III	PC	2K Games	Hangar 13	6.5	3.6	0.86	2016
2887	SUPERHOT	PC	SUPERHOT Team	SUPERHOT Team	8.2	7.5	0.84	2016
2908	Dead Cells	PC	Motion Twin	Motion Twin	8.9	7.5	0.83	2017
2966	theHunter: Call of the Wild	PC	Maximum Games	Expansive Worlds	6.4	7.4	0.82	2017
3029	Farming Simulator 17	PC	Focus Home Interactive	Giants Software	6.9	7.6	0.8	2016
3135	Battlefield 1	PC	Electronic Arts	EA DICE	9.1	7.1	0.77	2016
3423	Rocksmith 2014	PC	Ubisoft	Ubisoft San Francisco	9.0		0.7	2016
3474	Half-Life: Alyx	PC	Valve	Valve	9.3	9.1	0.68	2020
3521	Resident Evil VII: Biohazard	PC	Capcom	Capcom	7.9		0.67	2017
3907	Hyper Light Drifter	PC	Rebellion Games	Rebellion Games	8.4	8.3	0.6	2016
3986	Farming Simulator 19	PC	Focus Home Interactive	Giants Software	7.3	6.5	0.58	2018
4037	ABZU	PC	505 Games	Giant Squid Studios	8.3	6.9	0.58	2016
4090	Final Fantasy X / X-2 HD Remaster	PC	Square Enix	Square Enix	8.3	9.0	0.57	2016
4238	Wolfenstein II: The New Colossus	PC	Bethesda Softworks	MachineGames	8.6	6.7	0.55	2017
4314	NBA 2K18	PC	2K Sports	Visual Concepts	7.0		0.54	2017
4632	The Witness	PC	Thekla, Inc.	Number None Inc.	8.7	6.9	0.49	2016
4663	Final Fantasy XV: Windows Edition	PC	Square Enix	Square Enix	8.5	8.0	0.49	2018
4664	The Escapists 2	PC	Team17 Software	Team17 Software	7.5	7.6	0.49	2017
4727	Jurassic World Evolution	PC	Frontier Developments	Frontier Developments	6.9	7.2	0.48	2018
4758	Tom Clancy's The Division	PC	Ubisoft	Massive Entertainment	7.9	6.0	0.48	2016
5057	Dragon Ball FighterZ	PC	Namco Bandai Games	Arc System Works	8.5	7.5	0.44	2018
5235	Bayonetta	PC	Sega	Sega	9.0	8.2	0.42	2017
5261	Hellblade: Senua's Sacrifice	PC	Ninja Theory	Ninja Theory	8.3	8.1	0.42	2017
5442	Shadow Tactics: Blades of the Shogun	PC	Daedalic Entertainment	Mimimi Productions	8.3	8.5	0.41	2016
5739	Rebel Galaxy	PC	Double Damage Games	Double Damage Games	7.5	7.7	0.38	2016
5841	Clustertruck	PC	TinyBuild Games	Landfall	7.6	7.3	0.37	2016
5920	Cossacks 3	PC	GSC Game World	GSC Game World	6.3	5.4	0.36	2016
5986	The Sims 4: City Living	PC	Electronic Arts	Maxis	7.8	5.8	0.35	2016
6047	Nioh: Complete Edition	PC	Koei Tecmo	Team Ninja	8.4	6.7	0.35	2017
6159	Transport Fever	PC	Astragon	Urban Games	7.1	7.4	0.34	2016
6211	Call of Duty: Infinite Warfare	PC	Activision	Infinity Ward	7.3	3.5	0.33	2016
6317	Football Manager 2017	PC	Sega	Sports Interactive	8.0	5.2	0.33	2016
6374	Battlefleet Gothic: Armada	PC	Koch Media	Tindalos Interactive	7.7	7.4	0.32	2016
6399	South Park: The Fractured But Whole	PC	Ubisoft	Ubisoft San Francisco	8.1	6.7	0.32	2017
6412	Spintires: MudRunner	PC	Focus Home Interactive	Saber Interactive	7.7	7.5	0.32	2017
6424	F1 2016	PC	Codemasters	Codemasters	8.6	7.7	0.32	2017
6678	VA-11 HALL-A	PC	Ysbryd Games	Sukeban Games	8.4		0.3	2016
6738	Pit People	PC	The Behemoth	The Behemoth	7.8	7.8	0.3	2018
6865	Aragami	PC	Lince Works	Lince Works	7.1	7.2	0.29	2016
