Rank	Name	basename	Genre	ESRB_Rating	Platform	Publisher	Developer	VGChartz_Score	Critic_Score	User_Score	Total_Shipped	Global_Sales	NA_Sales	PAL_Sales	JP_Sales	Other_Sales	Year	Last_Update	url	status	Vgchartzscore	img_url
4	PlayerUnknown's Battlegrounds	playerunknowns-battlegrounds	Shooter		PC	PUBG Corporation	PUBG Corporation				36.6						2017.0	13th Nov 18	http://www.vgchartz.com/game/215988/playerunknowns-battlegrounds/?region=All	1		/games/boxart/full_8052843AmericaFrontccc.jpg
56	Portal 2	portal-2	Shooter	E10	PC	Valve	Valve Software		9.7		13.06						2011.0		http://www.vgchartz.com/game/43865/portal-2/?region=All	1		/games/boxart/full_portal-2_617AmericaFront.jpg
61	Grand Theft Auto V	grand-theft-auto-v	Action	M	PC	Rockstar Games	Rockstar North				12.6						2015.0	02nd Nov 18	http://www.vgchartz.com/game/83197/grand-theft-auto-v/?region=All	1		/games/boxart/full_9031276AmericaFrontccc.jpg
65	Diablo III	diablo-iii	Role-Playing	M	PC	Blizzard Entertainment	Blizzard Entertainment		9.0		12.0						2012.0	03rd Jan 18	http://www.vgchartz.com/game/24178/diablo-iii/?region=All	1	8.4	/games/boxart/full_diablo-iii_550AmericaFront.jpg
76	Terraria	terraria	Platform	T	PC	Unknown	Re-Logic		8.8		11.0						2011.0	19th Mar 18	http://www.vgchartz.com/game/51349/terraria/?region=All	1		/games/boxart/full_terraria_497AmericaFront.jpg
102	Rust	rust	Action-Adventure		PC	Facepunch Studios	Facepunch Studios		6.1		9.15						2018.0	19th Mar 18	http://www.vgchartz.com/game/76807/rust/?region=All	1		/games/boxart/full_9200722AmericaFrontccc.jpg
141	The Binding of Isaac	the-binding-of-isaac	Action		PC	Edmund McMillen	Edmund McMillen		8.3		7.17						2011.0	01st Dec 18	http://www.vgchartz.com/game/53148/the-binding-of-isaac/?region=All	1		/games/boxart/full_the-binding-of-isaac_366AmericaFront.jpg
182	Euro Truck Simulator 2	euro-truck-simulator-2	Simulation		PC	SCS Software	SCS Software		8.5		5.98						2013.0	31st Dec 17	http://www.vgchartz.com/game/71076/euro-truck-simulator-2/?region=All	1		/games/boxart/full_7497790PALFrontccc.jpg
186	Age of Empires II: HD Edition	age-of-empires-ii-hd-edition	Strategy		PC	Microsoft Studios	Hidden Path Entertainment				5.82						2013.0	02nd Oct 18	http://www.vgchartz.com/game/220226/age-of-empires-ii-hd-edition/?region=All	1		/games/boxart/full_7218098AmericaFrontccc.jpg
209	Tomb Raider (2013)	tomb-raider-2013	Action	M	PC	Square Enix	Crystal Dynamics		8.8		5.5						2013.0	06th Jan 18	http://www.vgchartz.com/game/70430/tomb-raider-2013/?region=All	1		/games/boxart/full_5321723AmericaFrontccc.jpg
210	The Witcher 3: Wild Hunt	the-witcher-3-wild-hunt	Role-Playing	M	PC	Warner Bros. Interactive Entertainment	CD Projekt Red Studio				5.48						2015.0	04th May 18	http://www.vgchartz.com/game/71483/the-witcher-3-wild-hunt/?region=All	1		/games/boxart/full_5355846AmericaFrontccc.jpg
225	The Forest	the-forest	Misc		PC	Endnight Games Ltd	Unknown				5.3						2014.0		http://www.vgchartz.com/game/82736/the-forest/?region=All	1		/games/boxart/full_7703243AmericaFrontccc.jpg
255	Cities: Skylines	cities-skylines	Simulation	E	PC	Paradox Interactive	Colossal Order				5.0						2015.0	14th Jan 18	http://www.vgchartz.com/game/84637/cities-skylines/?region=All	1		/games/boxart/full_1184797AmericaFrontccc.jpg
258	Guild Wars 2	guild-wars-2	Role-Playing	T	PC	NCSoft	ArenaNet				5.0						2012.0		http://www.vgchartz.com/game/37350/guild-wars-2/?region=All	1		/games/boxart/full_4799911PALFrontccc.jpg
267	Stardew Valley	stardew-valley	Simulation	E10	PC	Chucklefish	ConcernedApe		9.2		4.91						2016.0	21st Mar 18	http://www.vgchartz.com/game/155895/stardew-valley/?region=All	1		/games/boxart/full_5698458AmericaFrontccc.jpg
294	BioShock Infinite	bioshock-infinite	Shooter	M	PC	2K Games	Irrational Games				4.56						2013.0		http://www.vgchartz.com/game/46735/bioshock-infinite/?region=All	1		/games/boxart/full_7665085AmericaFrontccc.jpg
